,Review_Text,Topic,Doc_ID,LDA_Topic
60,go day xx brilliant food holiday day local people busy buy polite great time,-1,60,7
61,recommend tip navigate easily manage time marvellous amusement parkwe visit new year year old infant point helpful fellow travellerstip take big luggage trolley bag enter let inside plus pay thier storage service alsoonly backpack read big allow book online klook app discount save time spot book long reach special metro train interior superb give great feel take map free wifi access app show timing ride schedule miss live show worth watch direction highly creative ask employee ride entrance exit sticker keep give free soveniour leav door person give remember ask politelyrest worth visit age group belong miss la la,-1,61,9
62,small castle work amazing time able ride ride want ride nice staff lovely experience,15,62,4
63,way small staff interact kid sign hard read arrow point random direction son autistic tell take priority know ques bonus toilet plentiful clean shading seat,20,63,2
64,superb atmosphere hongkong enter soon open dawn check amusement renovation construction everyday last item hongkong tour check luggage kowloon station visit recommend reserve day ticket want try excursion fantastic creation life time snaps capture hour,49,64,9
65,love place fun food nostalgia create great mickey fan avenue enjoy kid adult enjoy,-1,65,8
66,friendly lovely food halloween time great time see day,18,66,4
67,hotel clean tidy environment nice staff hotel nice effective swimming pool child resort feel hotel activity child play photo take hotel guest explorer micky souvenir explorer bathrobe,-1,67,2
68,son wife child recently visit hongkong great time explore virtually linesthe fault find food child food lack variety taste grandson gluten free selection child menu eat purchase steak best frequent conscious allergy gluten free menu item readily implore hongkong ownership american icon sensitive need need improvement menu,-1,68,3
69,take family first time love joy see kid eye enjoy offer weather great well,-1,69,8
70,first ask ride show performer excellent ride kid friendly there couple adult ride great experience,13,70,8
71,recent hongkong pay return trip choose day quiet long wait minute sure case timesunfortunately rid test upgraded prevent disappointment check closure gowe eat previous experience restaurant disappoint expensivethis third visit visit hongkong visit,-1,71,3
72,impromptu trip weekday love trip wait time least minute wait time ride limit restaurant maybe weekday bad part castle renovation go construction,-1,72,4
73,wonderful place bring kid agesit well kept clean alot ride young kidsamzaing staff aroundthere halal food wonderful fantastic night light parade fantabulousits parent young kid,9,73,8
74,enjoy hongkong easy access special metro special design directly queue open open enjoy ride long queue weekday avoid weekendsfor muslim traveler worry find halal restaurant inside call tahitian terrace locate close tarzan treehouse price range hongkongd mistake enjoy big ride avoid big thrill drop try ride big grizzly mountain runaway mine car shame afraid fast backward drop lol far enjoyed ant man wasp nano battle hyperspace mountain mystic manor mickey phillarmagic,37,74,5
75,second time daughter first time hongkong disneylandstaff nice give priority mo pregnant theme still nice comfort room well maintainedshocked find regular mall ocean toilet clean liquid dispenser cubicle maybe time upgrade well,-1,75,2
76,apparently small love nz first amazing show rid attention detail highly recommend need day queue longer min tuesday march,-1,76,7
77,bought package website start explorer lodge package include priority pass like fast pass actually need long wait time ride minute show ride english cast member speak english well small still felt like keep busy day half bus shuttle clean ran timewould definitely next time hongkong,37,77,9
78,great way spend day hongkong tourist easy wander fun value find souvenir wayfood little expensive way,-1,78,4
79,go hongkong april happen qing ming festival expect massive crowd day queue ride fb outlet long great experience especially young kid amount spent ticket waste money sat rid im wonder cap number guest hard time find seat book ticket hotel online confirmation give ticket book end unable enter buy ticket spot luckily cast member carmen help resolve issue let access queue balloon overrpriced hongkong helium balloon,-1,79,9
80,la florida time tell disappointed love ride show still layout feel expand whole moment suggestion add food restaurant food line long ride liens purchased online ticket buy partial ride upgrade want full ride upgrade sell day imho well worth spend open closing love midway game fun,6,80,4
81,go th time truly magical experience small full excitement parade rid character cast member blend great day kid go mtr easy,28,81,8
82,wife bring daughers law hongkong recently year last visit new attraction add enjoyed visit favourite ride mountain runaway mine car age range play time time allow play take ride disregard age visit hongkong fun,40,82,8
83,local family member take round know trick super busy queue kid enjoy think even way easy ride queue avoid weekend local holiday lion king show fabulous,26,83,2
84,definitely fun place visit honker load fun recommend visit,23,84,8
85,love travel young kid recommend stay hotel hotel coach make convinient stayed hotel night high point visit character breakfast take day pas make whole experience relax easy go vegetarian food restaurant taste quantity well design option engage young kid old kid parade miss well photo opps character rid kid enjoy opportunity dress young jedi fight evil force great family vacation,-1,85,6
86,true highlight trip suspend reality well land attention detail incredible decor sound smells staff costume personas truly ages line well manage open day new marvel ride mins wait sure smart fast track pass free ridesit fair say small charmingthe staff people bend backwards clearly love job intuitively know people neededwould strongly recommend day spare current day ticket offer great flagship ride day show second day itemswith close proximity airport cheap bag storage ideal place visit last day like head straight airport,26,86,3
87,weve time disneys queue short small see daywe go mid week quieter buy ticket klook easy ride attraction refurbishment restaurant close presumably due people price stay may want double check advance want experience close avoid disappointment,-1,87,3
88,bucket list unlock best trip enjoy single second inside try ride,-1,88,9
89,hongkong definitely see small loses size make quality hongkong currently home marvel theme ride disappoint hongkong standard ride show expect maintains variety exclusives hongkong exclusive merchandise especially pin ride bilingual,-1,89,3
90,buy discounted ticket klook ticket queue arrive mtr min hongkong station breaky pret manger shop mall take water expensive take kid food snack expensive great quality search entry bag compartment easy hide late gate open straight star war toystory area ride fast pas want winnie pooh queue long toy story great big queue green parachute ride first start star war pm street show need early disappointed see lion king show currently download free hongkong app tell happen lion king show miss apparently street show end recommend musical show big theatre next small saw pm show sing mickey mouse goofy highlight day mine train amazing go timesall long day tire stay pm light show,-1,90,9
91,small company day worth year old baby relax find time enjoy transfer metro line work like charme super clear signpost truly fun day kid,29,91,8
92,first family trip family hubby la kid leave hotel open glad take little ticket buy priority line pas extra hongkongd big waste money busy wait ride busy food shop open kid love ride go time year old cry leave want day long foot hurt end day walk definitely worth see kids time aud ticket include priority line pass,-1,92,4
93,th time hongkong ill recommend go weekday weekend go child queue double castle attraction shut inform guest website staff nice speak english there need intimidate,-1,93,4
94,feel spirit place character wait long lineup shake hand stay couple hour leave,20,94,4
95,fantastic nice place kid friendly easly food area buy ticket online traveloka guest save time come place near bus station mtr station,-1,95,9
96,love attraction well run well worth visit fun day age easily accessible hongkong central train highly recommend street parade stay see light night,-1,96,7
97,friendly staff cool weather klook purchase discount ticket scan qr code enter easy fast enjoyed time kid,-1,97,9
98,small spent day tokyo february comparing hongkong say small theme pack activity rid small area still day hongkong newer update area iron man upcoming ant man crowd week day still short queue ridesthe parade day night similar shorter float go mickey show well lion king show enjoyable,49,98,7
99,im big fan regular visitor excite visit new great time compare tokyo florida ive visit small limited number ride real thrill rid space mountain tame compare versionsim struggle fill day id recommend visit daythe highlight show lion king show wondrous book best quality show ive see stag live singing performance impressivethe food option variety,-1,99,6
100,huge game theme travel cute little one sure eat drink restaurant eatery occupy peak hour evolve theme addition new game year like stark area sci fi zone wait pm witnessed signature parade expect wait time min ride,31,100,4
101,attraction shut still pay full entrance fee intimation online ticket kiosk,1,101,9
102,great property fun ride attraction give fix mystic manor great unique ride play part sea story try tell fun visit crowd low sure check time book visit,2,102,3
103,make honk kong mtr easy quick pretty convenient purchase ticket onsite online discount foreign traveler show web page driver license easy buy online download app great map track wait time rid ride min wait recommend fast pas dumbo line take long advertised wait time able ride still back mtr decent time train pretty pack manageable enjoyable experience day,-1,103,9
104,small great ride wonderful atmosphere paint night parade hard find lunch food choice matter great shop long ride line minute year old daughter princess makeover super cute ask staff member sticker generally one pocket day easily rd,-1,104,4
105,tried buy ticket online day enter payment detail try later try card still give message credit card company payment take receive booking confirmation take taxi tst area expensive air condition car pleasant journey arrive next day waste time guest relation tell payment take bought ticket need check card statement ensure payment takenwe know add priority pass ticket long queue entrance visit purchased themwhilst iron man ride priority card scan entry scan priority ride record record know time tried priority pas rd time later tell leave embarrass front guest occur iron man scan twice tell back iron man tire point go want walk back guest relation guest relation apologetic offer priority ticket next visit uk expect return offer soft drink popcorn whoopy dah lunch thank leave resolved satisfactionplease careful buy online purchase priority passthe queue minuteswe great time pre purchase priority pas experience leave feel dissatisfy elate still need check payment take negative experience continue back uk next week,41,105,9
106,go hongkong mtr easy back early march day light shower cold day rain take minute ride want wife trip shots character enjoy street parade leave train minute walk easy hotel,-1,106,7
107,spent day young child nd time actually visit opportunity,23,107,7
108,disappoint hongkong train run castle renovation area air dilapidation coach driver advise take food bag search pocket reason want pay incredibly high price food sell suggest buy souvenir take picture item ali baba ali express suppose basic souvenir mug cost approx watch parade fantastic make rest twice day afternoon even firework wed previously see suspend due renovation mtr station right gate change central line there ferry limit time leave mtr taxi bus senior hongkong oyster senior card way back station close hotel bother tour,-1,108,9
109,second time come hongkong unlucky rain haha rain enjoy sad afternoon parade cancel night weather clear hongkong push paint night parade first time see year ago fireworks castle still renovationmy family definitely back love see little enjoy,-1,109,0
110,hongkong great experience xmas celebration rid great people management top notch renovation castle undergoing go disappointment night parade cancellation wait last moment rain ruin refund voucher appreciate cancel show castle renovation,-1,110,3
111,start journey reach mtr give fun ride train paint character train help reach attraction,-1,111,1
112,year ago wifenow childrenits nice spend time kid theme parksome problem castle renovation firework lion king renovation princess photo limit elsa frozen photo session sad daughter favorite princess,-1,112,6
113,visited theme okay spectacular previously anaheim florida tokyo disneysea hongkong tiny fortunately crowd haunt house mystic manor weird expect line yeah maybe cultural beat haunt house universal studio singapore halloween horror night fyi kid fun reason go,-1,113,3
114,take kid weekday great decision minimum rush small queue reach start tomorrowland ride pm leave pm hyperspace mountain grizzly mountain jungle cruise mystic manor iron man experience rid buy ticket food combo klook stand queue scan barcode enter importantly take food coupon entry ahve return late coupon go royal banquet hall food average food carry water bottle water expensive,-1,114,9
115,like compare united state easier navigate small ride little one go wed line short minute minute wait unheard usa easily mtr expect spend day open moana show tale story show favorite,-1,115,7
116,monastery beautiful place giant statue truly awe inspire best see clear day cloud limit visibility great view tram well nong ping commercial,52,116,7
117,fun day busy wait time roughly minute ride eat place souvenir shop couple rollercoaster ride like usa still recommend day,22,117,4
118,optimal size try ride day queue minute wish affordable gift shop food beverage,4,118,4
119,ticket cheaper disney fast pass bomb pre buy best ride mansion grizzly man coaster space mountain florida california ironman okay pooh bear way small keep day simple need day,2,119,5
120,florida anaheim euro hongkong definately small give hour day spare time think worth visit limited number ride still fully professionally set true style show equally standard,-1,120,0
121,doubt true experiencethe parade rid character cast member blend great day kidsthe journey long mtr take literally front gate convenient strollersthey allow enter baby food healthy option insidewith classic like small train st castle lack magical feelmake sure ticket line tedious morning waste time ticket counter,-1,121,9
122,ive see negative post comment hongkong past bad yes expensive small ton ride agesas hongkong resident hongkong experience time parade ride incredible ton revamp past year farewells autopia buzz lightyear astroblasters replace brand new section tomorrowland feature iron man ant man come april well brand new revamp space mountain staff extremely helpful gift shop load merchandise souvenir extremely kid friendly negative extract food price food bad quality way expensive visitor allow bring food starve day buy expensive mealif free time hongkong want enjoyable kid mate hongkong great major thrill seeker ocean suit,34,122,2
123,small disappointing line small big attraction hour see construction noise visit ridiculous visit enchant forest heard jackhammer maneges limit price high quality keep money invest activity,27,123,3
124,place lessit kid amaze fun place massiveit wonderful place visit kid old qualify ridesmy boy cm pretty qualify single ridei love adventure personally involved tree housesboat ride etcmystic mansion worldsoooo digital well doneeating option veg folk limitedasked inside aboutveg food people kinda look weirdlolvegie burger best great dland compensate non food partyou ice cream hongkongd pop corn pricei like hongkong tea pack formit goodbus lantau cost hongkongdvery inexpensive stay tsttsim sha tsuifrom lantau toll toook tst prat avenuecosts hongkongd adult hongkongd child take taxi dinsey tstconsidering decent trafficit set hongkongd waypeak traffic cost hongkongd hongkongddisney visit take day queue long minimum take min queue attractionsinfants toddlerscap mandatory ready buckle stand long queuesunless priority pas,50,124,9
125,love ride mystic manor grizzly gulch runaway mine train excellent highly recommend go weekday wait longer minute monday tuesday need priority special priority special weekday,21,125,5
126,come day chinese new year crowd try google best time visit big parade theme hour last hrs avoid rush back visitor try stay back last parade mtr visitor leftthe theme stroller rent careful lose deposit slip cash deposit return strollersmy kid enjoy parade especially last hrs lightworks character street,-1,126,9
127,amusement age child adult young heart place enjoy best time visit march weather enjoy roam,23,127,8
128,first time go hongkong unfortunately cinderella castle renovate firework show cancel show mickey wondrous book lion king amaze parade afternoon see cartoon character come love big grizzly mountain runaway thrill recommend buy popcorn sell stand taste,-1,128,6
129,hongkong crowd norm exception weekday still crowd hate think like weekendsome area unavailable due remodel work sad new area open last visit goodthere rid child age enjoy daybuy ticket arrive save time queue time cheaper gateeasily accessible mrt hongkong big make little smile day,-1,129,7
130,go family invitation come brings child scream enjoy fun time especially kid trip usual monday queing long line activity leave ceratin choice event rid roller coaster ride star war hyperspace mountain photo take iron man strut pose parade store buy make stay memorable live presentation lion king musical wc make final cut day experience memorable,29,130,5
131,nice cute small attraction slowly expand fun rollercoasters family small ride enjoy small kid bring water bottle drink food expensive choice jedi show young one eatery worth go,4,131,6
132,best still make happy play ride extreme universal atudio build age enjoy time play,-1,132,8
133,small american favourite part lion king show great costume acrobatics makeup prop grandson want theatre change mind show staff busy talk staff assist abrupt great time think american set huge standard hard match,44,133,0
134,amazing show amaze fan visit ur miss,29,134,6
135,small compare well maintain clean admission fee low dollar,-1,135,3
136,like show anaheim show day hongkong perfection chinese friend happy sleep bathroom floor,-1,136,0
137,come parent year ago come visit ride okay usual super crowd busy especially lunch hour queue long min hour food especially starliner restaurant serf western food ticket come food coupon purchase meal hongkong buy recommended value set maximise burger pathetic small flat meat half,24,137,9
138,spent whole day come early avoid crowd buy ticket ahead avoid public holiday weekend tough week day accessible metro hot commercial consumer possible resist enjoy artificial word attraction,1,138,7
139,husband love visit hongkong great visit favourite ride mystic manor great little story bit funny amaze detail ride believe hongkong special run away train deceive start slow start think bit rubbishbut surprise winner ticket klook far cheap come option meal deal mean worry food great ok work castle moment think may take moment tiny find odd see castle like money build bit castle fireworks moment light show street hongkong toy story build orlando love toy story,44,139,3
140,live fl ca occasion far small glad go special train take obsession duffy go week day enter first open line encounter character easy day great food option typical fare enjoyed time spent,-1,140,7
141,first experience think great location start ppl hongkong small tokyo help feel overwhelmeda ride ride long maybe rain day see character reasonunfortunately castle maintenance full experience fun,-1,141,3
142,incredible actually rode attraction twice long wait min fast pas priority pas compare anaheim ca usa opportunity visit hongkong save money purchase ticket meal klook app relationship klook fun,37,142,4
143,husband free day fly back home decide visit age entry depend currency rate open arrive earlier decided buy ticket gate phone surprisingly easy quick process show passportswe metro hongkong sunny bay station cross platform catch train stopseeing monday amount people wait open massive bug bear nearly phone put selfies love mirror anyway announcement run open gate run manner push shovedthis patch original florida ride round quick certainly worth plus adult atmosphere certainly maybe warm,-1,143,7
144,visit hongkong today march poor experience little first place term ride experience close renovation include castle stuff open anyway kid pic fav character keep disappear break min queue long miss reduction expensive price pretty crappy day outsmall half open worth money,-1,144,3
145,trip hongkong swing day check attraction place huge time visit,-1,145,8
146,small compare one florida sure bad hit castle close upgrade firework offeredmost staff come across unfriendly helpful odd exception smile sticker entrance turnstileit remind staff visit inherent great expectation,6,146,3
147,kid rid way short time compare counterpart rid universal studio kid love mickey wondrous book lion king show,-1,147,6
148,spent hour hongkong easy mtr queue long day fabulous castle open time updated course pricey street parade,-1,148,7
149,say place fun friend im little sad day try activity rid place rid stress,23,149,8
150,daughter bucket list visit go option familar disney small large ride star war rollar coaster big thunder mountain mystic mansion version haunt mansion kid friendly open stayed close bit long daughter love,-1,150,3
151,visit hongkong great kid big kid first time day pass weather great rain half way first day weather forecast sunny buy day pass weather fine,46,151,7
152,place huge fun activity family friend recommend place child child friendly,23,152,8
153,perfect place unwind child find way visit,23,153,8
154,magical fun time wonderful day staff visit extra special kind patient unfortunately disappointed find firework cancel night warn explanation,-1,154,0
155,ride mean child thrill decoration detailed brings effect nice see bring child great atmosphere great people go family young child definitely time look thrill ride head ocean,-1,155,8
156,last monthmy parentsmy friend go hongkongwe arrive hongkong february tenththe weather cool sunnywe go hotel firstit clean service goodalmost perfectthe drawback room hotel small place playafter rest go restaurantthe food delicious beef ballsroasted gooseshrimp ravioli herbal teawhile eatingmy dad saw store selling ipads next store new ipadthats fantasticwe go day arrivedwe play recreational eventsthere people therewe wait long time play itthe roller coaster coolif peoplei want try againafter play dayevery tiredwe take small train back hotelwe play rugbyon last day hongkongits interestingi try time play welli match award white cap rugby ballswe need homethe trip great want leavei promise come back sooner later,-1,156,0
157,firstly happy place earth greatit small least anaheim tokyo standard easily cover hour leave time shop hit ride like multiple timeswe come tuesday early march arrive open weather nice line thankfully non existent usual busy time pm line minswe buy priority pas hindsight require end value skip minute queue waste money occasion lucky day worth money unsurethe rc car grizzly favourite rid extremely thrillingdisneyland hongkong see best experience,24,157,7
158,journey start end magical sentence hongkong big attraction rid adequate spend whole day hear news hongkong expand attraction add frozen marvel believe hongkong attract countless people future time hop din place increase people find place eat,34,158,0
159,hongkong big best grateful ride attraction trip worthwhile easily accessible mtr train disappointment wes character stroll mingle visitor may overcast potentially rainy sky case weather keep line ride short min max fast pas need like still visit variety pay fee orlando florida people buy ticket want visit expensive,5,159,4
160,magic start mtr mickey shapped window handle bar minute walk fountains poster feel like inside character walk everwhere fun ride friendly helpful staff parade amazing kid time second time year look forward visit soon,8,160,9
161,overcrowd chinese tourist like take photo cute young child permission rid fun take long queue food offering,35,161,2
162,small original still fun fair way travel reach train hongkong central,38,162,1
163,saywe go monday crowd big still able ridesjungle river cruiseslinky dog spintoy soldier parachute dropmystic manorgrizzly mountain runaway mine carsmickeys philharmagichyperspace mountainironman experience fast passspecial mention mystic manor hongkong mystic manor thrill ride still fun amuse mm souvenir cute spent amount money mm souvenirs shop shop hongkong airport find like buy hesitate downside sleep beauty castle winnie pooh ride close maintenance,37,163,5
164,go family group hongkong wonderful time grandchild love value money clean well lay highly recommended fun day child adult,47,164,8
